Date,Open,High,Low,Close,Adj Close,Volume,3M,5M
2016-08-26,32120,32460,32060,32240,27408.42188,12058000,27793.82096,28074.9332
2016-08-29,32040,32800,31940,32800,27884.50195,8925750,27720.14063,27989.91914
2016-08-30,32940,33420,32660,32900,27969.51758,7849600,27754.14714,27847.09648
2016-08-31,32820,32820,32220,32400,27544.44727,20532200,27799.48893,27734.87734
2016-09-01,31660,31760,31260,31740,26983.35742,18790150,27499.10742,27558.04922
2016-09-02,31900,32260,31760,31940,27153.38477,8153000,27227.06315,27507.0418
2016-09-05,31800,32300,31700,32120,27306.40625,8383800,27147.71615,27391.42266
2016-09-06,32140,32900,31940,32860,27935.50977,7660150,27465.10026,27384.62109
2016-09-07,32960,33040,32420,32420,27561.45117,9591850,27601.1224,27388.02188
2016-09-08,32460,32780,32280,32780,27867.49805,12070850,27788.153,27564.85
2016-09-09,32220,32360,31280,31500,26779.32422,13258400,27402.75781,27490.03789
2016-09-12,29800,30120,29120,29300,24909.02148,26499350,26518.61458,27010.56094
2016-09-13,30160,30980,29900,30540,25963.19141,24717250,25883.8457,26616.09727
2016-09-19,30760,31380,30720,31160,26490.28125,22408150,25787.49805,26401.86328
2016-09-20,31180,31760,31180,31700,26949.35352,12921150,26467.60872,26218.23438
2016-09-21,31900,32020,31520,31840,27068.37109,10509050,26836.00195,26276.04375
2016-09-22,32000,32820,31980,32360,27510.44141,11429950,27176.05534,26796.32773
2016-09-23,31640,31960,31320,31420,26711.30664,18299650,27096.70638,26945.95078
2016-09-26,31420,31920,31280,31360,26660.30469,14524800,26960.68425,26979.95547
2016-09-27,31000,31500,30660,31380,26677.30664,9834400,26682.97266,26925.54609
2016-09-28,31080,31460,31080,31340,26643.30273,8706400,26660.30469,26840.53242
2016-09-29,31460,32380,31440,32000,27204.39453,11397550,26841.66797,26779.32305
2016-09-30,31800,32300,31700,31960,27170.39063,11762700,27006.0293,26871.13984
2016-10-04,32200,32480,32120,32280,27442.42969,13053100,27272.40495,27027.56484
2016-10-05,32020,32520,31940,32380,27527.44336,12470450,27380.08789,27197.59219
2016-10-06,33920,34000,33340,33820,28751.64453,29558150,27907.17253,27619.26055
2016-10-07,34000,34320,33800,34120,29006.67969,26050550,28428.58919,27979.71758
2016-10-10,33000,33780,32560,33600,28564.61328,25293300,28774.3125,28258.56211
2016-10-11,32000,32500,30900,30900,26269.24023,38427150,27946.8444,28023.92422
2016-10-12,29900,30900,29880,30700,26099.21289,39088550,26977.6888,27738.27813
2016-10-13,31000,31620,30900,31140,26473.27539,21864550,26280.57617,27282.6043
2016-10-14,30960,31760,30940,31540,26813.32813,14158950,26461.9388,26843.93398
2016-10-17,31300,32040,30760,31800,27034.36133,12785200,26773.65495,26537.88359
2016-10-18,31440,31900,31440,31780,27017.36719,10384500,26955.01888,26687.50898
2016-10-19,31580,32860,31500,32500,27629.45898,15444550,27227.0625,26993.5582
2016-10-20,32520,33020,32180,32400,27544.44727,10330450,27397.09115,27207.79258
2016-10-21,32120,32260,31760,31780,27017.36719,10477500,27397.09115,27248.60039
2016-10-24,31860,32160,31800,32160,27340.41406,9289950,27300.74284,27309.81094
2016-10-25,32000,32080,31840,31940,27153.38477,9866100,27170.38867,27337.01445
2016-10-26,31940,31980,31240,31340,26643.30273,10534000,27045.70052,27139.7832
